### DATA:
#
# 1081
#      Q             I(Q)           Error     
7.24889685E-03  5.11218799E+03  8.54584694E+00
7.64072911E-03  4.35887451E+03  7.83535719E+00
8.03256137E-03  3.80430591E+03  7.26896000E+00
8.42439364E-03  3.28995947E+03  5.94777727E+00
8.81622590E-03  2.87737476E+03  5.62313414E+00
9.20805816E-03  2.52182520E+03  4.97231197E+00
9.59989042E-03  2.23689746E+03  4.59379005E+00
9.99172268E-03  1.98187952E+03  4.15136385E+00
1.03835549E-02  1.75342566E+03  3.74532795E+00
1.07753872E-02  1.57288989E+03  3.53317475E+00
1.11672195E-02  1.40497205E+03  3.20239496E+00
1.15590517E-02  1.26548328E+03  2.99584985E+00
1.19508840E-02  1.14385632E+03  2.74325013E+00
1.23427163E-02  1.02960620E+03  2.60264754E+00
1.27345485E-02  9.36888245E+02  2.41983366E+00
1.31263808E-02  8.52572327E+02  2.25274849E+00
1.35182130E-02  7.78543640E+02  2.10923171E+00
1.39100453E-02  7.11436340E+02  1.95575058E+00
1.43018776E-02  6.52703918E+02  1.89375782E+00
1.46937098E-02  6.02614258E+02  1.78562748E+00
1.50855421E-02  5.54619995E+02  1.62513840E+00
1.54773744E-02  5.16015381E+02  1.59435713E+00
1.58692066E-02  4.71741394E+02  1.47784042E+00
1.62610389E-02  4.39147308E+02  1.44266808E+00
1.66528711E-02  4.10443542E+02  1.34172010E+00
1.70447034E-02  3.82429810E+02  1.28115213E+00
1.74365357E-02  3.56992065E+02  1.22732043E+00
1.78283679E-02  3.34080627E+02  1.18728375E+00
1.82202002E-02  3.14064697E+02  1.16100681E+00
1.86120325E-02  2.96294281E+02  1.09971941E+00
1.90038647E-02  2.80459778E+02  1.06775403E+00
1.93956970E-02  2.64145447E+02  1.04692757E+00
1.97875292E-02  2.51372345E+02  1.00274968E+00
2.01793615E-02  2.37249268E+02  9.76127803E-01
2.05711938E-02  2.27328461E+02  9.42347229E-01
2.09630260E-02  2.14846710E+02  9.19711769E-01
2.13548583E-02  2.06019821E+02  8.98853183E-01
2.17466905E-02  1.95405609E+02  8.60341966E-01
2.21385228E-02  1.88613937E+02  8.45258653E-01
2.25303551E-02  1.81111465E+02  8.19022715E-01
2.29221873E-02  1.74613922E+02  8.13284576E-01
2.33140196E-02  1.66273651E+02  7.89153159E-01
2.37058519E-02  1.59562256E+02  7.50891626E-01
2.40976841E-02  1.54861603E+02  7.42376626E-01
2.44895164E-02  1.48326920E+02  7.13952243E-01
2.48813486E-02  1.42502151E+02  6.95033193E-01
2.52731809E-02  1.37987534E+02  6.70435131E-01
2.56650132E-02  1.33482193E+02  6.41867399E-01
2.60568454E-02  1.28434143E+02  6.37533545E-01
2.64486777E-02  1.23054901E+02  6.08817220E-01
2.68405100E-02  1.20006691E+02  5.98531544E-01
