### DATA:
#
# 1081
#      Q             I(Q)           Error     
7.24889685E-03  3.46549707E+03  7.03613949E+00
7.64072911E-03  2.97467261E+03  6.47278500E+00
8.03256137E-03  2.62746826E+03  6.04092312E+00
8.42439364E-03  2.28934253E+03  4.96152067E+00
8.81622590E-03  2.01133813E+03  4.70135212E+00
9.20805816E-03  1.77896887E+03  4.17623663E+00
9.59989042E-03  1.58773401E+03  3.87023187E+00
9.99172268E-03  1.43372900E+03  3.53090239E+00
1.03835549E-02  1.28055103E+03  3.20069742E+00
1.07753872E-02  1.15895898E+03  3.03284335E+00
1.11672195E-02  1.04737866E+03  2.76498580E+00
1.15590517E-02  9.53630249E+02  2.60064960E+00
1.19508840E-02  8.68571594E+02  2.39046550E+00
1.23427163E-02  7.95887329E+02  2.28826118E+00
1.27345485E-02  7.36986755E+02  2.14620638E+00
1.31263808E-02  6.74779236E+02  2.00413942E+00
1.35182130E-02  6.25262390E+02  1.89022696E+00
1.39100453E-02  5.82585754E+02  1.76980472E+00
1.43018776E-02  5.39538025E+02  1.72177875E+00
1.46937098E-02  5.03629150E+02  1.63240004E+00
1.50855421E-02  4.67119110E+02  1.49144208E+00
1.54773744E-02  4.38403687E+02  1.46957386E+00
1.58692066E-02  4.09013824E+02  1.37608278E+00
1.62610389E-02  3.86217804E+02  1.35293663E+00
1.66528711E-02  3.61535065E+02  1.25924551E+00
1.70447034E-02  3.41176056E+02  1.21008003E+00
1.74365357E-02  3.21675140E+02  1.16503096E+00
1.78283679E-02  3.04531708E+02  1.13356161E+00
1.82202002E-02  2.88055725E+02  1.11189425E+00
1.86120325E-02  2.74918457E+02  1.05930781E+00
1.90038647E-02  2.60471649E+02  1.02900183E+00
1.93956970E-02  2.46746811E+02  1.01186097E+00
1.97875292E-02  2.34848068E+02  9.69230890E-01
2.01793615E-02  2.24200836E+02  9.48905289E-01
2.05711938E-02  2.12402390E+02  9.10885453E-01
2.09630260E-02  2.03803192E+02  8.95762444E-01
2.13548583E-02  1.94850967E+02  8.74149203E-01
2.17466905E-02  1.85818283E+02  8.38970721E-01
2.21385228E-02  1.77659149E+02  8.20345044E-01
2.25303551E-02  1.69481567E+02  7.92290092E-01
2.29221873E-02  1.61314362E+02  7.81699121E-01
2.33140196E-02  1.56000000E+02  7.64384508E-01
2.37058519E-02  1.50643311E+02  7.29603767E-01
2.40976841E-02  1.44025040E+02  7.15931356E-01
2.44895164E-02  1.38264801E+02  6.89310670E-01
2.48813486E-02  1.32895111E+02  6.71195984E-01
2.52731809E-02  1.27817879E+02  6.45256877E-01
2.56650132E-02  1.24506622E+02  6.19911790E-01
2.60568454E-02  1.18721832E+02  6.12954319E-01
2.64486777E-02  1.15648056E+02  5.90210140E-01
2.68405100E-02  1.10364601E+02  5.73983252E-01
2.72323422E-02  1.07108353E+02  5.58819413E-01
2.76241745E-02  1.03177025E+02  5.37606418E-01
2.80160067E-02  9.93423386E+01  5.32011330E-01
2.84078390E-02  9.59651489E+01  5.11365235E-01
2.87996713E-02  9.23849716E+01  4.98352706E-01
2.91915035E-02  8.96202011E+01  4.79994208E-01
2.95833358E-02  8.72538910E+01  4.79822725E-01
2.99751681E-02  8.34167709E+01  4.67308015E-01
3.03670003E-02  8.03471909E+01  4.45967406E-01
3.07588326E-02  7.89710464E+01  4.41585779E-01
3.11506648E-02  7.72448502E+01  4.27845925E-01
3.15424971E-02  7.35741577E+01  4.24660265E-01
3.19343294E-02  7.13668976E+01  4.09310490E-01
3.23261616E-02  6.90655365E+01  3.99851143E-01
