### DATA:
#
# 1093
#      Q             I(Q)           Error     
6.40205297E-03  2.65865234E+02  3.42087889E+00
6.79005618E-03  2.56453613E+02  2.78808331E+00
7.17805939E-03  2.25793945E+02  2.33644056E+00
7.56606260E-03  2.05645996E+02  2.01814294E+00
7.95406581E-03  1.80508545E+02  1.80259871E+00
8.34206902E-03  1.66111572E+02  1.62025034E+00
8.73007223E-03  1.49484619E+02  1.45471835E+00
9.11807544E-03  1.37430054E+02  1.29780447E+00
9.50607865E-03  1.25567993E+02  1.16303980E+00
9.89408186E-03  1.16160889E+02  1.05078149E+00
1.02820851E-02  1.05704224E+02  9.54589784E-01
1.06700883E-02  1.00943359E+02  8.71937513E-01
1.10580915E-02  9.43394165E+01  8.00402224E-01
1.14460947E-02  8.79432983E+01  7.36939013E-01
1.18340979E-02  8.30164185E+01  6.82167411E-01
1.22221011E-02  7.86704712E+01  6.32939398E-01
1.26101043E-02  7.37952881E+01  5.89636862E-01
1.29981075E-02  7.01090698E+01  5.51502943E-01
1.33861107E-02  6.73611450E+01  5.16843021E-01
1.37741140E-02  6.47691956E+01  4.85812247E-01
1.41621172E-02  6.17843323E+01  4.57871675E-01
1.45501204E-02  6.00563660E+01  4.32827383E-01
1.49381236E-02  5.81671143E+01  4.10151452E-01
1.53261268E-02  5.59249268E+01  3.89221460E-01
1.57141300E-02  5.42494507E+01  3.70704651E-01
1.61021332E-02  5.24064331E+01  3.52969199E-01
1.64901364E-02  5.20973816E+01  3.37283373E-01
1.68781396E-02  5.10368958E+01  3.22501987E-01
1.72661428E-02  4.99997559E+01  3.09284121E-01
1.76541461E-02  4.88081665E+01  2.97140837E-01
1.80421493E-02  4.84460907E+01  2.85846502E-01
1.84301525E-02  4.77448273E+01  2.75550097E-01
1.88181557E-02  4.69406128E+01  2.65940994E-01
1.92061589E-02  4.66188049E+01  2.57068485E-01
1.95941621E-02  4.63893890E+01  2.48853430E-01
1.99821653E-02  4.56788025E+01  2.41095081E-01
2.03701685E-02  4.52998810E+01  2.33966962E-01
2.07581717E-02  4.44021454E+01  2.27298722E-01
2.11461749E-02  4.45888062E+01  2.20930248E-01
2.15341782E-02  4.45421295E+01  2.15237811E-01
2.19221814E-02  4.44695587E+01  2.09991708E-01
2.23101846E-02  4.40211487E+01  2.04861030E-01
2.26981878E-02  4.37939148E+01  2.00005993E-01
2.30861910E-02  4.34709015E+01  1.95491880E-01
2.34741942E-02  4.28832855E+01  1.91238344E-01
2.38621974E-02  4.25807495E+01  1.87287107E-01
2.42502006E-02  4.18064270E+01  1.83422491E-01
2.46382038E-02  4.11064911E+01  1.79707363E-01
2.50262070E-02  4.04656982E+01  1.76210865E-01
2.54142103E-02  3.99463577E+01  1.72850847E-01
2.58022135E-02  3.92118149E+01  1.69599473E-01
2.61902167E-02  3.83177719E+01  1.66448787E-01
2.65782199E-02  3.72656708E+01  1.63565546E-01
2.69662231E-02  3.61679916E+01  1.60590634E-01
2.73542263E-02  3.50291824E+01  1.57657444E-01
2.77422295E-02  3.39264984E+01  1.54995188E-01
2.81302327E-02  3.27679977E+01  1.52585879E-01
2.85182359E-02  3.15213547E+01  1.49995595E-01
2.89062391E-02  3.04286499E+01  1.47578642E-01
2.92942424E-02  2.89610672E+01  1.45233691E-01
2.96822456E-02  2.74267044E+01  1.43013671E-01
3.00702488E-02  2.61153793E+01  1.40801683E-01
3.04582520E-02  2.50535889E+01  1.38774961E-01
3.08462552E-02  2.36781693E+01  1.36783972E-01
3.12342584E-02  2.25055389E+01  1.34906992E-01
3.16222616E-02  2.13995895E+01  1.34996414E-01
3.20102648E-02  2.03976212E+01  1.35412410E-01
3.23982680E-02  1.92120285E+01  1.35012835E-01
3.27862712E-02  1.83998566E+01  1.34382054E-01
3.31742745E-02  1.74650955E+01  1.33584380E-01
3.35622777E-02  1.64045715E+01  1.32898569E-01
3.39502809E-02  1.56156616E+01  1.32139280E-01
3.43382841E-02  1.50300598E+01  1.31326661E-01
3.47262873E-02  1.42982635E+01  1.30457103E-01
3.51142905E-02  1.33965530E+01  1.29630774E-01
3.55022937E-02  1.28821945E+01  1.28815681E-01
3.58902969E-02  1.22501831E+01  1.28032684E-01
3.62783001E-02  1.17446747E+01  1.27355650E-01
3.66663033E-02  1.13636169E+01  1.26500621E-01
3.70543066E-02  1.05760574E+01  1.25711337E-01
3.74423098E-02  1.01060104E+01  1.25009671E-01
3.78303130E-02  9.86128235E+00  1.24181181E-01
3.82183162E-02  9.37052155E+00  1.23563766E-01
3.86063194E-02  8.95766449E+00  1.20965570E-01
3.89943226E-02  8.82224274E+00  1.18214309E-01
3.93823258E-02  8.17584991E+00  1.16294682E-01
3.97703290E-02  7.89464569E+00  1.14760071E-01
4.01583322E-02  7.59474945E+00  1.13518335E-01
4.05463354E-02  7.49075317E+00  1.12145334E-01
4.09343387E-02  7.25508118E+00  1.11037090E-01
4.13223419E-02  7.08556366E+00  1.09925136E-01
4.17103451E-02  6.92221832E+00  1.08882979E-01
4.20983483E-02  6.90211487E+00  1.07928358E-01
4.24863515E-02  6.62988281E+00  1.06988855E-01
4.28743547E-02  6.37281036E+00  1.06179044E-01
4.32623579E-02  6.37228394E+00  1.05252050E-01
4.36503611E-02  6.13460541E+00  1.04467712E-01
4.40383643E-02  5.97576141E+00  1.03677288E-01
4.44263675E-02  6.09399414E+00  1.02907792E-01
4.48143708E-02  5.82860565E+00  1.02523580E-01
4.52023740E-02  5.89379883E+00  1.02676496E-01
4.55903772E-02  5.80242920E+00  1.02748238E-01
4.59783804E-02  5.74520874E+00  1.02747142E-01
4.63663836E-02  5.54811859E+00  1.02596842E-01
4.67543868E-02  5.43862152E+00  1.02540374E-01
4.71423900E-02  5.51578522E+00  1.02296084E-01
4.75303932E-02  5.58919525E+00  1.02150798E-01
4.79183964E-02  5.29100800E+00  1.01992056E-01
4.83063996E-02  5.31775665E+00  1.01756267E-01
4.86944029E-02  5.42886353E+00  1.01510994E-01
4.90824061E-02  5.19990540E+00  1.01282425E-01
4.94704093E-02  5.18804169E+00  1.01217926E-01
4.98584125E-02  5.04035187E+00  1.00885279E-01
5.02464157E-02  5.07794189E+00  1.00584522E-01
5.06344189E-02  5.16309357E+00  1.00411385E-01
5.10224221E-02  5.23942566E+00  9.99618918E-02
5.14104253E-02  5.10470581E+00  9.86956656E-02
5.17984285E-02  5.14717865E+00  9.73156393E-02
5.21864318E-02  4.97431946E+00  9.62652341E-02
5.25744350E-02  4.97964478E+00  9.52741951E-02
5.29624382E-02  5.14723206E+00  9.45193693E-02
5.33504414E-02  5.17677307E+00  9.38227400E-02
5.37384446E-02  5.04192352E+00  9.31201801E-02
5.41264478E-02  5.02320862E+00  9.24353674E-02
5.45144510E-02  4.94468689E+00  9.18119624E-02
5.49024542E-02  4.84685516E+00  9.12347808E-02
5.52904574E-02  4.94866943E+00  9.07308459E-02
5.56784606E-02  4.76568604E+00  9.01504681E-02
5.60664639E-02  4.78682709E+00  8.96208212E-02
5.64544671E-02  4.78199005E+00  8.91306177E-02
5.68424703E-02  4.67137909E+00  8.86685401E-02
5.72304735E-02  4.83620453E+00  8.82262886E-02
5.76184767E-02  4.85134888E+00  8.76540244E-02
5.80064799E-02  4.62667084E+00  8.72888938E-02
5.83944831E-02  4.43707275E+00  8.67952630E-02
5.87824863E-02  4.46799469E+00  8.63495767E-02
5.91704895E-02  4.41188812E+00  8.60051215E-02
5.95584927E-02  4.36164093E+00  8.55807662E-02
5.99464960E-02  4.16776276E+00  8.51798505E-02
6.03344992E-02  4.31283569E+00  8.47161785E-02
6.07225024E-02  4.20362854E+00  8.43715668E-02
6.11105056E-02  4.11981201E+00  8.38985145E-02
6.14985088E-02  4.09697723E+00  8.35433528E-02
6.18865120E-02  4.15690613E+00  8.31995755E-02
6.22745152E-02  4.06790161E+00  8.27606097E-02
6.26625184E-02  4.01525879E+00  8.24969560E-02
6.30505216E-02  3.90966797E+00  8.20757002E-02
6.34385248E-02  3.86718750E+00  8.17673281E-02
6.38265281E-02  3.70785522E+00  8.14020187E-02
6.42145313E-02  3.65337372E+00  8.10260177E-02
6.46025345E-02  3.60964966E+00  8.07293281E-02
6.49905377E-02  3.57975006E+00  8.03527087E-02
6.53785409E-02  3.71443176E+00  7.99836814E-02
6.57665441E-02  3.69404602E+00  7.96459988E-02
6.61545473E-02  3.59577942E+00  7.93294534E-02
6.65425505E-02  3.52136230E+00  7.89982304E-02
6.69305537E-02  3.55768585E+00  7.86430389E-02
6.73185569E-02  3.40090942E+00  7.83784017E-02
6.77065602E-02  3.41464996E+00  7.80337304E-02
6.80945634E-02  3.34160614E+00  7.77086467E-02
6.84825666E-02  3.28524780E+00  7.74234086E-02
6.88705698E-02  3.20640564E+00  7.70260990E-02
6.92585730E-02  3.31687164E+00  7.67568201E-02
6.96465762E-02  3.28187561E+00  7.64119774E-02
7.00345794E-02  3.36219788E+00  7.61987045E-02
