### DATA:
#
# 1093
#      Q             I(Q)           Error     
6.40205297E-03  5.85962012E+03  2.38422704E+00
6.79005618E-03  5.15751660E+03  1.94478345E+00
7.17805939E-03  4.47676318E+03  1.63076985E+00
7.56606260E-03  3.78797144E+03  1.40993202E+00
7.95406581E-03  3.17334766E+03  1.26102889E+00
8.34206902E-03  2.67782861E+03  1.13406932E+00
8.73007223E-03  2.29618115E+03  1.01931584E+00
9.11807544E-03  1.98376672E+03  9.09733117E-01
9.50607865E-03  1.72562097E+03  8.16038489E-01
9.89408186E-03  1.51021167E+03  7.38500178E-01
1.02820851E-02  1.32827124E+03  6.70914352E-01
1.06700883E-02  1.17589343E+03  6.13776207E-01
1.10580915E-02  1.04776184E+03  5.64183831E-01
1.14460947E-02  9.36762207E+02  5.19866347E-01
1.18340979E-02  8.42076355E+02  4.81708884E-01
1.22221011E-02  7.61624329E+02  4.47864324E-01
1.26101043E-02  6.90671082E+02  4.17537212E-01
1.29981075E-02  6.30009277E+02  3.90853852E-01
1.33861107E-02  5.76732117E+02  3.66529673E-01
1.37741140E-02  5.30273438E+02  3.45034957E-01
1.41621172E-02  4.89328094E+02  3.25440675E-01
1.45501204E-02  4.53154144E+02  3.07906657E-01
1.49381236E-02  4.21536774E+02  2.92091638E-01
1.53261268E-02  3.93951202E+02  2.77821511E-01
1.57141300E-02  3.69463226E+02  2.64947146E-01
1.61021332E-02  3.47170593E+02  2.52828747E-01
1.64901364E-02  3.27283936E+02  2.42008314E-01
1.68781396E-02  3.08323395E+02  2.31495723E-01
1.72661428E-02  2.92018585E+02  2.22265646E-01
1.76541461E-02  2.77683502E+02  2.13876858E-01
1.80421493E-02  2.65006836E+02  2.06161991E-01
1.84301525E-02  2.53148468E+02  1.98968261E-01
1.88181557E-02  2.42812088E+02  1.92482188E-01
1.92061589E-02  2.33003906E+02  1.86276972E-01
1.95941621E-02  2.24119186E+02  1.80587754E-01
1.99821653E-02  2.15913818E+02  1.75146103E-01
2.03701685E-02  2.08753784E+02  1.70315310E-01
2.07581717E-02  2.02195389E+02  1.65736943E-01
2.11461749E-02  1.96381592E+02  1.61613956E-01
2.15341782E-02  1.90408051E+02  1.57449171E-01
2.19221814E-02  1.84928986E+02  1.53592020E-01
2.23101846E-02  1.80169479E+02  1.50066733E-01
2.26981878E-02  1.75792374E+02  1.46732762E-01
2.30861910E-02  1.71606705E+02  1.43634275E-01
2.34741942E-02  1.67871811E+02  1.40736222E-01
2.38621974E-02  1.63983353E+02  1.37792110E-01
2.42502006E-02  1.60196472E+02  1.34950221E-01
2.46382038E-02  1.56633636E+02  1.32199273E-01
2.50262070E-02  1.53425751E+02  1.29749596E-01
2.54142103E-02  1.50195160E+02  1.27226532E-01
2.58022135E-02  1.47280670E+02  1.24923214E-01
2.61902167E-02  1.44025299E+02  1.22455351E-01
2.65782199E-02  1.41116699E+02  1.20227575E-01
2.69662231E-02  1.38144730E+02  1.17992751E-01
2.73542263E-02  1.35479828E+02  1.15897536E-01
2.77422295E-02  1.32700821E+02  1.13772742E-01
2.81302327E-02  1.30027771E+02  1.11769304E-01
2.85182359E-02  1.27420670E+02  1.09807909E-01
2.89062391E-02  1.24842712E+02  1.07892528E-01
2.92942424E-02  1.22239952E+02  1.05918407E-01
2.96822456E-02  1.19980019E+02  1.04188263E-01
3.00702488E-02  1.17784073E+02  1.02518372E-01
3.04582520E-02  1.15561462E+02  1.00807406E-01
3.08462552E-02  1.13444756E+02  9.92136374E-02
3.12342584E-02  1.11118904E+02  9.74566489E-02
3.16222616E-02  1.09583649E+02  9.76256654E-02
3.20102648E-02  1.07856750E+02  9.77552980E-02
3.23982680E-02  1.05994118E+02  9.72593650E-02
3.27862712E-02  1.04505859E+02  9.67563167E-02
3.31742745E-02  1.03014114E+02  9.60801914E-02
3.35622777E-02  1.01485603E+02  9.54082161E-02
3.39502809E-02  9.99330368E+01  9.46104228E-02
3.43382841E-02  9.86121597E+01  9.39017311E-02
3.47262873E-02  9.75463943E+01  9.32837725E-02
3.51142905E-02  9.63501587E+01  9.25493538E-02
3.55022937E-02  9.51064606E+01  9.18040127E-02
3.58902969E-02  9.41005936E+01  9.11189914E-02
3.62783001E-02  9.33982544E+01  9.06294286E-02
3.66663033E-02  9.22935410E+01  8.99042338E-02
3.70543066E-02  9.12238693E+01  8.91539976E-02
3.74423098E-02  9.06703873E+01  8.87003392E-02
