### DATA:
#
# 1093
#      Q             I(Q)           Error     
6.40205297E-03  6.36504443E+03  2.49978638E+00
6.79005618E-03  5.57483350E+03  2.03333187E+00
7.17805939E-03  4.83085156E+03  1.70397115E+00
7.56606260E-03  4.08821948E+03  1.47378898E+00
7.95406581E-03  3.40590430E+03  1.31392479E+00
8.34206902E-03  2.85888184E+03  1.17861259E+00
8.73007223E-03  2.44092383E+03  1.05695629E+00
9.11807544E-03  2.10170752E+03  9.41963851E-01
9.50607865E-03  1.81812402E+03  8.42671692E-01
9.89408186E-03  1.58330103E+03  7.60470212E-01
1.02820851E-02  1.38900610E+03  6.90038085E-01
1.06700883E-02  1.22599097E+03  6.30272090E-01
1.10580915E-02  1.08970447E+03  5.78689516E-01
1.14460947E-02  9.71065918E+02  5.32401383E-01
1.18340979E-02  8.66955750E+02  4.91561025E-01
1.22221011E-02  7.82113281E+02  4.56508964E-01
1.26101043E-02  7.07714844E+02  4.25097704E-01
1.29981075E-02  6.42662720E+02  3.97170484E-01
1.33861107E-02  5.86445190E+02  3.71762365E-01
1.37741140E-02  5.38543579E+02  3.49765480E-01
1.41621172E-02  4.95388977E+02  3.29456031E-01
1.45501204E-02  4.57110168E+02  3.11046362E-01
1.49381236E-02  4.24073181E+02  2.94664294E-01
1.53261268E-02  3.94334290E+02  2.79596508E-01
1.57141300E-02  3.67623962E+02  2.65806884E-01
1.61021332E-02  3.44401611E+02  2.53290892E-01
1.64901364E-02  3.23523193E+02  2.42034957E-01
1.68781396E-02  3.03965088E+02  2.31214732E-01
1.72661428E-02  2.87351135E+02  2.21809894E-01
1.76541461E-02  2.71784119E+02  2.12797090E-01
1.80421493E-02  2.58341003E+02  2.04752237E-01
1.84301525E-02  2.45582184E+02  1.97127745E-01
1.88181557E-02  2.34846313E+02  1.90441325E-01
1.92061589E-02  2.24291626E+02  1.83864817E-01
1.95941621E-02  2.14930420E+02  1.77902073E-01
1.99821653E-02  2.06531570E+02  1.72367126E-01
2.03701685E-02  1.98449219E+02  1.67051226E-01
2.07581717E-02  1.91340912E+02  1.62164584E-01
2.11461749E-02  1.85152496E+02  1.57847703E-01
2.15341782E-02  1.79266586E+02  1.53700784E-01
2.19221814E-02  1.73689758E+02  1.49723142E-01
2.23101846E-02  1.68660782E+02  1.46108478E-01
2.26981878E-02  1.64046722E+02  1.42591074E-01
2.30861910E-02  1.59818146E+02  1.39418304E-01
2.34741942E-02  1.55776962E+02  1.36350423E-01
2.38621974E-02  1.52488068E+02  1.33677930E-01
2.42502006E-02  1.48899399E+02  1.30898625E-01
2.46382038E-02  1.45589569E+02  1.28213912E-01
2.50262070E-02  1.42996613E+02  1.26014560E-01
2.54142103E-02  1.40009720E+02  1.23579606E-01
2.58022135E-02  1.37490372E+02  1.21432841E-01
2.61902167E-02  1.35232468E+02  1.19411215E-01
2.65782199E-02  1.32946747E+02  1.17358886E-01
2.69662231E-02  1.30938690E+02  1.15552485E-01
2.73542263E-02  1.29013153E+02  1.13745794E-01
2.77422295E-02  1.27472794E+02  1.12212077E-01
2.81302327E-02  1.25967064E+02  1.10675670E-01
2.85182359E-02  1.24213791E+02  1.09040573E-01
2.89062391E-02  1.22636391E+02  1.07563809E-01
2.92942424E-02  1.21245056E+02  1.06119312E-01
2.96822456E-02  1.20092590E+02  1.04891971E-01
3.00702488E-02  1.18791222E+02  1.03564300E-01
3.04582520E-02  1.17610458E+02  1.02326237E-01
3.08462552E-02  1.16637314E+02  1.01214014E-01
3.12342584E-02  1.15750229E+02  1.00105368E-01
3.16222616E-02  1.14802597E+02  1.00507751E-01
3.20102648E-02  1.13813248E+02  1.01019725E-01
3.23982680E-02  1.12945114E+02  1.00999258E-01
3.27862712E-02  1.12216812E+02  1.00868344E-01
3.31742745E-02  1.11427902E+02  1.00553110E-01
3.35622777E-02  1.10763329E+02  1.00294091E-01
3.39502809E-02  1.09983604E+02  9.98340771E-02
3.43382841E-02  1.09441383E+02  9.95092914E-02
3.47262873E-02  1.08915939E+02  9.91607979E-02
3.51142905E-02  1.08376877E+02  9.87475142E-02
3.55022937E-02  1.07640709E+02  9.82644781E-02
3.58902969E-02  1.07208168E+02  9.78594273E-02
3.62783001E-02  1.07042870E+02  9.76325274E-02
3.66663033E-02  1.06409836E+02  9.71042588E-02
3.70543066E-02  1.05871628E+02  9.66341943E-02
3.74423098E-02  1.05442825E+02  9.62148532E-02
3.78303130E-02  1.05138062E+02  9.58309621E-02
3.82183162E-02  1.04686562E+02  9.54241455E-02
3.86063194E-02  1.04434349E+02  9.35694426E-02
3.89943226E-02  1.03998047E+02  9.15117040E-02
3.93823258E-02  1.03707718E+02  9.02238935E-02
3.97703290E-02  1.03668617E+02  8.92109424E-02
4.01583322E-02  1.03439880E+02  8.82791877E-02
4.05463354E-02  1.02974144E+02  8.72982740E-02
4.09343387E-02  1.02630478E+02  8.64342004E-02
4.13223419E-02  1.02279404E+02  8.56214911E-02
4.17103451E-02  1.02170303E+02  8.49426687E-02
4.20983483E-02  1.02069855E+02  8.43087062E-02
4.24863515E-02  1.01888237E+02  8.36368129E-02
4.28743547E-02  1.01668762E+02  8.30080360E-02
4.32623579E-02  1.01332466E+02  8.23280066E-02
4.36503611E-02  1.01298019E+02  8.17930624E-02
4.40383643E-02  1.01300957E+02  8.13279897E-02
4.44263675E-02  1.00908470E+02  8.06306824E-02
4.48143708E-02  1.00921066E+02  8.04345757E-02
4.52023740E-02  1.00701950E+02  8.04332644E-02
4.55903772E-02  1.00855949E+02  8.05932730E-02
4.59783804E-02  1.00629959E+02  8.05398300E-02
4.63663836E-02  1.00677635E+02  8.05400908E-02
4.67543868E-02  1.00583015E+02  8.04688334E-02
4.71423900E-02  1.00476181E+02  8.03907365E-02
4.75303932E-02  1.00303207E+02  8.01892430E-02
4.79183964E-02  1.00334747E+02  8.01758468E-02
4.83063996E-02  1.00212906E+02  8.00121427E-02
4.86944029E-02  1.00014877E+02  7.98249617E-02
4.90824061E-02  9.98429565E+01  7.96556994E-02
4.94704093E-02  9.97125931E+01  7.94602931E-02
4.98584125E-02  9.97372589E+01  7.93735310E-02
5.02464157E-02  9.96068573E+01  7.91475549E-02
5.06344189E-02  9.96757355E+01  7.90828094E-02
5.10224221E-02  9.94983749E+01  7.87109360E-02
5.14104253E-02  9.92273178E+01  7.77462050E-02
5.17984285E-02  9.90033875E+01  7.67659098E-02
5.21864318E-02  9.87114868E+01  7.59089962E-02
5.25744350E-02  9.84068298E+01  7.51616880E-02
5.29624382E-02  9.85040131E+01  7.46307001E-02
5.33504414E-02  9.84179993E+01  7.40683228E-02
5.37384446E-02  9.81868439E+01  7.35165477E-02
5.41264478E-02  9.80415802E+01  7.30048716E-02
5.45144510E-02  9.81140900E+01  7.26162344E-02
5.49024542E-02  9.81056366E+01  7.21716732E-02
5.52904574E-02  9.79063110E+01  7.17043430E-02
5.56784606E-02  9.79232025E+01  7.13605136E-02
5.60664639E-02  9.78715057E+01  7.09576160E-02
5.64544671E-02  9.77458420E+01  7.05518275E-02
5.68424703E-02  9.77047577E+01  7.02067837E-02
5.72304735E-02  9.75534821E+01  6.98032901E-02
5.76184767E-02  9.75642548E+01  6.94800168E-02
5.80064799E-02  9.74716110E+01  6.91492409E-02
5.83944831E-02  9.72087708E+01  6.86968714E-02
5.87824863E-02  9.72434235E+01  6.84155300E-02
5.91704895E-02  9.74160004E+01  6.82132691E-02
5.95584927E-02  9.72601547E+01  6.78299591E-02
5.99464960E-02  9.70877228E+01  6.74920231E-02
