### DATA:
#
# 1093
#      Q             I(Q)           Error     
6.40205297E-03  5.92055859E+03  2.42519665E+00
6.79005618E-03  5.19042041E+03  1.97405648E+00
7.17805939E-03  4.49667480E+03  1.65424061E+00
7.56606260E-03  3.79025928E+03  1.42719626E+00
7.95406581E-03  3.16287256E+03  1.27398705E+00
8.34206902E-03  2.65793335E+03  1.14337552E+00
8.73007223E-03  2.27139453E+03  1.02583838E+00
9.11807544E-03  1.95601245E+03  9.14093614E-01
9.50607865E-03  1.69462231E+03  8.18452358E-01
9.89408186E-03  1.47547632E+03  7.38596082E-01
1.02820851E-02  1.29505188E+03  6.70564651E-01
1.06700883E-02  1.13945935E+03  6.11364663E-01
1.10580915E-02  1.01040204E+03  5.60580015E-01
1.14460947E-02  9.00022156E+02  5.15543222E-01
1.18340979E-02  8.04815369E+02  4.76606458E-01
1.22221011E-02  7.23219788E+02  4.41569328E-01
1.26101043E-02  6.53688782E+02  4.11014885E-01
1.29981075E-02  5.93557373E+02  3.83942366E-01
1.33861107E-02  5.40895813E+02  3.59230280E-01
1.37741140E-02  4.94385406E+02  3.37126613E-01
1.41621172E-02  4.54175964E+02  3.17381531E-01
1.45501204E-02  4.18563080E+02  2.99463242E-01
1.49381236E-02  3.87225433E+02  2.83310235E-01
1.53261268E-02  3.59274750E+02  2.68566191E-01
1.57141300E-02  3.35036469E+02  2.55358398E-01
1.61021332E-02  3.12681091E+02  2.42807955E-01
1.64901364E-02  2.92302551E+02  2.31409267E-01
1.68781396E-02  2.73990997E+02  2.20861956E-01
1.72661428E-02  2.58028137E+02  2.11433217E-01
1.76541461E-02  2.43883865E+02  2.02848673E-01
1.80421493E-02  2.30762482E+02  1.94672510E-01
1.84301525E-02  2.19033859E+02  1.87342674E-01
1.88181557E-02  2.08561768E+02  1.80510581E-01
1.92061589E-02  1.98772079E+02  1.74097449E-01
1.95941621E-02  1.89804367E+02  1.68146029E-01
1.99821653E-02  1.81750549E+02  1.62655771E-01
2.03701685E-02  1.74299423E+02  1.57527134E-01
2.07581717E-02  1.68010651E+02  1.52904853E-01
2.11461749E-02  1.61346603E+02  1.48164108E-01
2.15341782E-02  1.55644043E+02  1.44068927E-01
2.19221814E-02  1.50597626E+02  1.40246570E-01
2.23101846E-02  1.45784088E+02  1.36624128E-01
2.26981878E-02  1.41325302E+02  1.33156940E-01
2.30861910E-02  1.37131470E+02  1.29935473E-01
2.34741942E-02  1.33508652E+02  1.27005816E-01
2.38621974E-02  1.30132431E+02  1.24190845E-01
2.42502006E-02  1.26979309E+02  1.21594205E-01
2.46382038E-02  1.24083206E+02  1.19094886E-01
2.50262070E-02  1.21216675E+02  1.16706178E-01
2.54142103E-02  1.18522324E+02  1.14386037E-01
2.58022135E-02  1.16050758E+02  1.12212852E-01
2.61902167E-02  1.13755836E+02  1.10162698E-01
2.65782199E-02  1.11911301E+02  1.08358160E-01
2.69662231E-02  1.09792786E+02  1.06456958E-01
2.73542263E-02  1.07834213E+02  1.04623079E-01
2.77422295E-02  1.06130653E+02  1.02976896E-01
2.81302327E-02  1.04716637E+02  1.01524971E-01
2.85182359E-02  1.03133911E+02  9.99628454E-02
2.89062391E-02  1.01590927E+02  9.84723568E-02
2.92942424E-02  1.00418243E+02  9.71641690E-02
2.96822456E-02  9.93084030E+01  9.59495306E-02
3.00702488E-02  9.80965500E+01  9.46600884E-02
3.04582520E-02  9.69864960E+01  9.34638828E-02
3.08462552E-02  9.60700912E+01  9.23918411E-02
3.12342584E-02  9.52106400E+01  9.13235098E-02
3.16222616E-02  9.41987000E+01  9.15875882E-02
3.20102648E-02  9.33917084E+01  9.20369476E-02
3.23982680E-02  9.26314850E+01  9.20194387E-02
3.27862712E-02  9.16947556E+01  9.17265937E-02
3.31742745E-02  9.09469833E+01  9.13622603E-02
3.35622777E-02  9.04029770E+01  9.11239535E-02
3.39502809E-02  8.98294067E+01  9.07724649E-02
3.43382841E-02  8.90909271E+01  9.03171077E-02
3.47262873E-02  8.84185104E+01  8.98732096E-02
3.51142905E-02  8.80107727E+01  8.95231515E-02
3.55022937E-02  8.73783951E+01  8.90238732E-02
3.58902969E-02  8.69565506E+01  8.86418894E-02
3.62783001E-02  8.65402222E+01  8.83016139E-02
3.66663033E-02  8.58796387E+01  8.77518728E-02
3.70543066E-02  8.55662766E+01  8.73973817E-02
3.74423098E-02  8.52063446E+01  8.70185494E-02
3.78303130E-02  8.46251678E+01  8.64733756E-02
3.82183162E-02  8.43436050E+01  8.61717761E-02
3.86063194E-02  8.40965729E+01  8.44565555E-02
3.89943226E-02  8.36322174E+01  8.25226903E-02
3.93823258E-02  8.33830795E+01  8.13603997E-02
3.97703290E-02  8.31330566E+01  8.03365409E-02
4.01583322E-02  8.29828033E+01  7.95515925E-02
4.05463354E-02  8.25447388E+01  7.85847306E-02
4.09343387E-02  8.23329163E+01  7.78626576E-02
4.13223419E-02  8.19909744E+01  7.71223456E-02
4.17103451E-02  8.17436752E+01  7.64320344E-02
4.20983483E-02  8.14375153E+01  7.57463500E-02
4.24863515E-02  8.13024673E+01  7.51450658E-02
4.28743547E-02  8.12464142E+01  7.46486336E-02
4.32623579E-02  8.08748322E+01  7.39772394E-02
4.36503611E-02  8.07745514E+01  7.34880865E-02
4.40383643E-02  8.06015625E+01  7.29695484E-02
4.44263675E-02  8.03482819E+01  7.23826513E-02
4.48143708E-02  8.03451157E+01  7.21816793E-02
4.52023740E-02  8.02750397E+01  7.22492561E-02
4.55903772E-02  8.02963409E+01  7.23404437E-02
4.59783804E-02  8.02329483E+01  7.23525733E-02
4.63663836E-02  8.01751785E+01  7.22904354E-02
4.67543868E-02  8.01392288E+01  7.22833350E-02
4.71423900E-02  7.98602676E+01  7.20783174E-02
4.75303932E-02  7.97789764E+01  7.19510466E-02
4.79183964E-02  7.97898865E+01  7.19293058E-02
4.83063996E-02  7.96304169E+01  7.17352629E-02
4.86944029E-02  7.93903351E+01  7.15374500E-02
4.90824061E-02  7.93751907E+01  7.14390874E-02
4.94704093E-02  7.94865723E+01  7.13927969E-02
4.98584125E-02  7.93157806E+01  7.12002441E-02
5.02464157E-02  7.91206512E+01  7.09527731E-02
5.06344189E-02  7.90080566E+01  7.08132088E-02
5.10224221E-02  7.88367462E+01  7.04795569E-02
5.14104253E-02  7.86083145E+01  6.96186274E-02
5.17984285E-02  7.82271957E+01  6.86164051E-02
5.21864318E-02  7.81033783E+01  6.79299831E-02
5.25744350E-02  7.77879791E+01  6.72245771E-02
5.29624382E-02  7.76408157E+01  6.66425750E-02
5.33504414E-02  7.75571213E+01  6.61494806E-02
5.37384446E-02  7.74487762E+01  6.56890422E-02
5.41264478E-02  7.72630234E+01  6.51932359E-02
5.45144510E-02  7.71639786E+01  6.47666305E-02
5.49024542E-02  7.71545715E+01  6.43957108E-02
5.52904574E-02  7.70672379E+01  6.40090480E-02
5.56784606E-02  7.69711075E+01  6.36475608E-02
5.60664639E-02  7.68505249E+01  6.32637814E-02
5.64544671E-02  7.68203812E+01  6.29106760E-02
5.68424703E-02  7.68113251E+01  6.26137108E-02
5.72304735E-02  7.66592865E+01  6.22554645E-02
5.76184767E-02  7.64311752E+01  6.18393794E-02
5.80064799E-02  7.65342178E+01  6.16370253E-02
5.83944831E-02  7.65344086E+01  6.13263547E-02
5.87824863E-02  7.64289856E+01  6.10027015E-02
5.91704895E-02  7.64441605E+01  6.07735142E-02
5.95584927E-02  7.64042511E+01  6.04742765E-02
5.99464960E-02  7.64170532E+01  6.02486208E-02
6.03344992E-02  7.61635742E+01  5.98755255E-02
6.07225024E-02  7.61857834E+01  5.96671291E-02
6.11105056E-02  7.60593719E+01  5.93366139E-02
6.14985088E-02  7.60124664E+01  5.90865240E-02
6.18865120E-02  7.58942261E+01  5.88300154E-02
6.22745152E-02  7.57882996E+01  5.85346147E-02
6.26625184E-02  7.58606873E+01  5.83580658E-02
6.30505216E-02  7.57671967E+01  5.80804236E-02
6.34385248E-02  7.57788010E+01  5.78675643E-02
6.38265281E-02  7.57677841E+01  5.76466843E-02
6.42145313E-02  7.56488571E+01  5.73837273E-02
6.46025345E-02  7.56010208E+01  5.71857914E-02
