### DATA:
#
# 1093
#      Q             I(Q)           Error     
6.40205297E-03  5.77596387E+03  2.40044641E+00
6.79005618E-03  5.07946777E+03  1.95709324E+00
7.17805939E-03  4.40047266E+03  1.63927150E+00
7.56606260E-03  3.71489014E+03  1.41550136E+00
7.95406581E-03  3.10418018E+03  1.26447487E+00
8.34206902E-03  2.60846533E+03  1.13475704E+00
8.73007223E-03  2.22484326E+03  1.01716924E+00
9.11807544E-03  1.91627539E+03  9.06662762E-01
9.50607865E-03  1.66084375E+03  8.11810315E-01
9.89408186E-03  1.44720483E+03  7.32879102E-01
1.02820851E-02  1.26824780E+03  6.64665461E-01
1.06700883E-02  1.11711743E+03  6.06474459E-01
1.10580915E-02  9.90084839E+02  5.55963099E-01
1.14460947E-02  8.81943970E+02  5.11416197E-01
1.18340979E-02  7.89049744E+02  4.72775787E-01
1.22221011E-02  7.10786987E+02  4.38657850E-01
1.26101043E-02  6.40912476E+02  4.07669634E-01
1.29981075E-02  5.81548340E+02  3.80788922E-01
1.33861107E-02  5.30070923E+02  3.56308103E-01
1.37741140E-02  4.84938171E+02  3.34504902E-01
1.41621172E-02  4.45579010E+02  3.14921647E-01
1.45501204E-02  4.10570984E+02  2.97197938E-01
1.49381236E-02  3.79441132E+02  2.80924499E-01
1.53261268E-02  3.52944794E+02  2.66656190E-01
1.57141300E-02  3.28574493E+02  2.53329813E-01
1.61021332E-02  3.06836487E+02  2.41069511E-01
1.64901364E-02  2.87112823E+02  2.29810789E-01
1.68781396E-02  2.69716156E+02  2.19584778E-01
1.72661428E-02  2.53723801E+02  2.10091561E-01
1.76541461E-02  2.40052078E+02  2.01687604E-01
1.80421493E-02  2.27319046E+02  1.93568438E-01
1.84301525E-02  2.15838470E+02  1.86304420E-01
1.88181557E-02  2.05014191E+02  1.79270700E-01
1.92061589E-02  1.95762115E+02  1.73132375E-01
1.95941621E-02  1.87375443E+02  1.67437226E-01
1.99821653E-02  1.78761169E+02  1.61573932E-01
2.03701685E-02  1.71944489E+02  1.56765670E-01
2.07581717E-02  1.65641052E+02  1.52079895E-01
2.11461749E-02  1.59550430E+02  1.47670239E-01
2.15341782E-02  1.53976852E+02  1.43590197E-01
2.19221814E-02  1.49202179E+02  1.39919668E-01
2.23101846E-02  1.44208344E+02  1.36121869E-01
2.26981878E-02  1.39960876E+02  1.32761985E-01
2.30861910E-02  1.36163589E+02  1.29716799E-01
2.34741942E-02  1.32483704E+02  1.26736328E-01
2.38621974E-02  1.29094528E+02  1.23961404E-01
2.42502006E-02  1.25688560E+02  1.21190943E-01
2.46382038E-02  1.22773392E+02  1.18670069E-01
2.50262070E-02  1.20164345E+02  1.16417862E-01
2.54142103E-02  1.17504028E+02  1.14094839E-01
2.58022135E-02  1.15262550E+02  1.12039730E-01
2.61902167E-02  1.13270058E+02  1.10129677E-01
2.65782199E-02  1.11118454E+02  1.08144008E-01
2.69662231E-02  1.09067032E+02  1.06311992E-01
2.73542263E-02  1.07225914E+02  1.04531124E-01
2.77422295E-02  1.05607582E+02  1.02920033E-01
2.81302327E-02  1.04215897E+02  1.01463355E-01
2.85182359E-02  1.02814049E+02  1.00016698E-01
2.89062391E-02  1.01081459E+02  9.83958989E-02
2.92942424E-02  9.98592606E+01  9.70806181E-02
2.96822456E-02  9.88435516E+01  9.59245414E-02
3.00702488E-02  9.76952667E+01  9.46541280E-02
3.04582520E-02  9.66982803E+01  9.35143605E-02
3.08462552E-02  9.55413208E+01  9.23005790E-02
3.12342584E-02  9.47030487E+01  9.12369415E-02
3.16222616E-02  9.40805206E+01  9.17188227E-02
3.20102648E-02  9.31120682E+01  9.20839831E-02
3.23982680E-02  9.23368225E+01  9.20553058E-02
3.27862712E-02  9.16261978E+01  9.18773487E-02
3.31742745E-02  9.07928925E+01  9.14873108E-02
3.35622777E-02  9.00993576E+01  9.11689103E-02
3.39502809E-02  8.94386826E+01  9.07482505E-02
3.43382841E-02  8.88949203E+01  9.03809965E-02
3.47262873E-02  8.85253067E+01  9.01050866E-02
3.51142905E-02  8.77998428E+01  8.95589516E-02
3.55022937E-02  8.72409286E+01  8.91626701E-02
3.58902969E-02  8.67791595E+01  8.87391418E-02
3.62783001E-02  8.64257889E+01  8.84074718E-02
3.66663033E-02  8.58815994E+01  8.79205614E-02
3.70543066E-02  8.55000992E+01  8.75185132E-02
3.74423098E-02  8.51879730E+01  8.71511847E-02
3.78303130E-02  8.49393082E+01  8.68249387E-02
3.82183162E-02  8.44197540E+01  8.63702446E-02
3.86063194E-02  8.39990234E+01  8.45810696E-02
3.89943226E-02  8.36144180E+01  8.27071071E-02
3.93823258E-02  8.31812134E+01  8.14376622E-02
3.97703290E-02  8.28648224E+01  8.03839788E-02
4.01583322E-02  8.28548584E+01  7.96432942E-02
4.05463354E-02  8.25617218E+01  7.87824988E-02
4.09343387E-02  8.22185822E+01  7.79746324E-02
4.13223419E-02  8.19473724E+01  7.72326663E-02
4.17103451E-02  8.17104187E+01  7.65453875E-02
4.20983483E-02  8.14836884E+01  7.59232938E-02
4.24863515E-02  8.13438263E+01  7.53214434E-02
4.28743547E-02  8.11220551E+01  7.47192577E-02
4.32623579E-02  8.09244308E+01  7.41597936E-02
4.36503611E-02  8.07792664E+01  7.36263245E-02
4.40383643E-02  8.05380402E+01  7.30540305E-02
4.44263675E-02  8.04438782E+01  7.25701451E-02
4.48143708E-02  8.04600677E+01  7.23864883E-02
4.52023740E-02  8.03986969E+01  7.24631697E-02
4.55903772E-02  8.03834763E+01  7.25204721E-02
4.59783804E-02  8.03286209E+01  7.25266337E-02
4.63663836E-02  8.02814484E+01  7.24786371E-02
4.67543868E-02  8.00503235E+01  7.23446235E-02
4.71423900E-02  8.00199585E+01  7.23159835E-02
4.75303932E-02  7.99395370E+01  7.21765906E-02
4.79183964E-02  7.98038177E+01  7.20578432E-02
4.83063996E-02  7.98266068E+01  7.19699487E-02
4.86944029E-02  7.96511307E+01  7.17853233E-02
4.90824061E-02  7.95363617E+01  7.16561750E-02
4.94704093E-02  7.93466339E+01  7.14320168E-02
4.98584125E-02  7.93525696E+01  7.13486522E-02
5.02464157E-02  7.94112930E+01  7.12497160E-02
5.06344189E-02  7.92964020E+01  7.10901171E-02
5.10224221E-02  7.90483704E+01  7.07021505E-02
5.14104253E-02  7.87194366E+01  6.97859004E-02
5.17984285E-02  7.85578766E+01  6.89026862E-02
5.21864318E-02  7.82786636E+01  6.81166574E-02
5.25744350E-02  7.78886414E+01  6.74059466E-02
5.29624382E-02  7.78065948E+01  6.68368042E-02
5.33504414E-02  7.77911377E+01  6.63708597E-02
5.37384446E-02  7.77320862E+01  6.59592897E-02
5.41264478E-02  7.75565872E+01  6.54438734E-02
5.45144510E-02  7.75359726E+01  6.50429651E-02
5.49024542E-02  7.75060654E+01  6.46636263E-02
5.52904574E-02  7.72850418E+01  6.42219856E-02
5.56784606E-02  7.71547928E+01  6.38380200E-02
5.60664639E-02  7.71810684E+01  6.35307953E-02
5.64544671E-02  7.70871353E+01  6.31400272E-02
5.68424703E-02  7.69425430E+01  6.27667308E-02
5.72304735E-02  7.68904572E+01  6.24774620E-02
5.76184767E-02  7.68500824E+01  6.21565096E-02
5.80064799E-02  7.68560867E+01  6.18951619E-02
5.83944831E-02  7.66795502E+01  6.15079701E-02
5.87824863E-02  7.67382278E+01  6.12669177E-02
5.91704895E-02  7.67060394E+01  6.09900057E-02
5.95584927E-02  7.65393829E+01  6.06481135E-02
5.99464960E-02  7.64104996E+01  6.03479557E-02
6.03344992E-02  7.63549881E+01  6.00709133E-02
6.07225024E-02  7.63687897E+01  5.98409846E-02
6.11105056E-02  7.63217468E+01  5.95690534E-02
6.14985088E-02  7.62140732E+01  5.92686608E-02
6.18865120E-02  7.63092270E+01  5.91162667E-02
6.22745152E-02  7.60164948E+01  5.87383397E-02
6.26625184E-02  7.60790253E+01  5.85630834E-02
6.30505216E-02  7.60827789E+01  5.83311543E-02
6.34385248E-02  7.59143143E+01  5.80355152E-02
6.38265281E-02  7.58533478E+01  5.78053594E-02
6.42145313E-02  7.57751389E+01  5.75594120E-02
6.46025345E-02  7.56715088E+01  5.73161431E-02
6.49905377E-02  7.56254349E+01  5.70904985E-02
6.53785409E-02  7.56169205E+01  5.68763241E-02
6.57665441E-02  7.56446686E+01  5.66779189E-02
6.61545473E-02  7.53968735E+01  5.63828163E-02
6.65425505E-02  7.53545914E+01  5.62043600E-02
6.69305537E-02  7.51678619E+01  5.59143536E-02
6.73185569E-02  7.51564789E+01  5.57488576E-02
6.77065602E-02  7.50442963E+01  5.55016026E-02
6.80945634E-02  7.49835587E+01  5.52924760E-02
6.84825666E-02  7.48740845E+01  5.50590977E-02
6.88705698E-02  7.46960068E+01  5.47983348E-02
6.92585730E-02  7.46594467E+01  5.46245165E-02
6.96465762E-02  7.45313492E+01  5.43807149E-02
7.00345794E-02  7.44351578E+01  5.41879535E-02
7.04225826E-02  7.44738312E+01  5.40487096E-02
7.08105858E-02  7.42523117E+01  5.37709109E-02
7.11985890E-02  7.42213898E+01  5.35989590E-02
7.15865923E-02  7.41046906E+01  5.33692054E-02
7.19745955E-02  7.40737000E+01  5.32242656E-02
7.23625987E-02  7.39407501E+01  5.30160591E-02
7.27506019E-02  7.38059006E+01  5.27988076E-02
7.31386051E-02  7.38575592E+01  5.26731536E-02
7.35266083E-02  7.37354355E+01  5.24331816E-02
7.39146115E-02  7.36254654E+01  5.22454195E-02
7.43026147E-02  7.36206207E+01  5.21018431E-02
7.46906179E-02  7.35219879E+01  5.19123599E-02
7.50786211E-02  7.34180679E+01  5.17233685E-02
7.54666244E-02  7.34795837E+01  5.15908301E-02
7.58546276E-02  7.33531265E+01  5.13914600E-02
7.62426308E-02  7.32238693E+01  5.11984639E-02
7.66306340E-02  7.31507797E+01  5.10254987E-02
7.70186372E-02  7.30151215E+01  5.08475378E-02
7.74066404E-02  7.28662109E+01  5.06452210E-02
7.77946436E-02  7.28390961E+01  5.05053885E-02
7.81826468E-02  7.27084732E+01  5.03195301E-02
7.85706500E-02  7.25803528E+01  5.01314290E-02
7.89586532E-02  7.25225754E+01  4.99682799E-02
7.93466565E-02  7.25140457E+01  4.98250201E-02
7.97346597E-02  7.24699707E+01  4.96906079E-02
8.01226629E-02  7.23309326E+01  4.95112799E-02
8.05106661E-02  7.21257324E+01  4.93028127E-02
8.08986693E-02  7.20865326E+01  4.91572097E-02
8.12866725E-02  7.20937958E+01  4.90192026E-02
8.16746757E-02  7.20468521E+01  4.88820598E-02
8.20626789E-02  7.19577789E+01  4.87259887E-02
8.24506821E-02  7.18684540E+01  4.85850498E-02
