### DATA:
#
# 1093
#      Q             I(Q)           Error     
6.40205297E-03  5.84624902E+03  1.04250288E+01
6.79005618E-03  5.14683252E+03  8.50143814E+00
7.17805939E-03  4.46613330E+03  7.13058710E+00
7.56606260E-03  3.76814453E+03  6.15656090E+00
7.95406581E-03  3.15162573E+03  5.50053978E+00
8.34206902E-03  2.64860986E+03  4.93634987E+00
8.73007223E-03  2.26119409E+03  4.42585325E+00
9.11807544E-03  1.95569373E+03  3.95428729E+00
9.50607865E-03  1.69641748E+03  3.54163909E+00
9.89408186E-03  1.48225562E+03  3.20393395E+00
1.02820851E-02  1.29523584E+03  2.90077353E+00
1.06700883E-02  1.14560266E+03  2.65315032E+00
1.10580915E-02  1.01654498E+03  2.43254828E+00
1.14460947E-02  9.03760925E+02  2.23414302E+00
1.18340979E-02  8.10980347E+02  2.06996703E+00
1.22221011E-02  7.29615234E+02  1.91932428E+00
1.26101043E-02  6.58698242E+02  1.78464568E+00
1.29981075E-02  5.99499634E+02  1.67067206E+00
1.33861107E-02  5.43858032E+02  1.55822504E+00
1.37741140E-02  5.00986877E+02  1.46910119E+00
1.41621172E-02  4.58536804E+02  1.37860763E+00
1.45501204E-02  4.23545807E+02  1.30292261E+00
1.49381236E-02  3.91190094E+02  1.23221505E+00
1.53261268E-02  3.62534393E+02  1.16763175E+00
1.57141300E-02  3.37368835E+02  1.10884392E+00
1.61021332E-02  3.15108246E+02  1.05516934E+00
1.64901364E-02  2.92865997E+02  1.00127625E+00
1.68781396E-02  2.74949585E+02  9.56878901E-01
1.72661428E-02  2.59907898E+02  9.18212473E-01
1.76541461E-02  2.45050308E+02  8.80071998E-01
1.80421493E-02  2.31291489E+02  8.42859507E-01
1.84301525E-02  2.20713455E+02  8.13780725E-01
1.88181557E-02  2.09044617E+02  7.82190502E-01
1.92061589E-02  1.98286606E+02  7.52067208E-01
1.95941621E-02  1.89017151E+02  7.25529134E-01
1.99821653E-02  1.82003586E+02  7.04220057E-01
2.03701685E-02  1.73912506E+02  6.80228591E-01
2.07581717E-02  1.66552719E+02  6.58741713E-01
2.11461749E-02  1.60358109E+02  6.39452517E-01
2.15341782E-02  1.54008987E+02  6.19816005E-01
2.19221814E-02  1.48653107E+02  6.02362394E-01
2.23101846E-02  1.44596878E+02  5.88223040E-01
2.26981878E-02  1.40192917E+02  5.73468328E-01
2.30861910E-02  1.35405243E+02  5.58466673E-01
2.34741942E-02  1.31845398E+02  5.45972228E-01
2.38621974E-02  1.29098877E+02  5.35204768E-01
2.42502006E-02  1.25223427E+02  5.22242546E-01
2.46382038E-02  1.21690933E+02  5.09955227E-01
2.50262070E-02  1.18901100E+02  4.99990582E-01
2.54142103E-02  1.15846764E+02  4.88993615E-01
2.58022135E-02  1.13241302E+02  4.79293913E-01
2.61902167E-02  1.11199326E+02  4.71229762E-01
2.65782199E-02  1.09595665E+02  4.63897258E-01
2.69662231E-02  1.06883347E+02  4.54078078E-01
2.73542263E-02  1.04009750E+02  4.44235116E-01
2.77422295E-02  1.02984520E+02  4.39216495E-01
2.81302327E-02  1.01319260E+02  4.31550652E-01
2.85182359E-02  9.96864243E+01  4.25306946E-01
2.89062391E-02  9.88992996E+01  4.20919091E-01
2.92942424E-02  9.72222519E+01  4.13536370E-01
2.96822456E-02  9.51943130E+01  4.06285405E-01
3.00702488E-02  9.38944702E+01  4.00447667E-01
3.04582520E-02  9.36898346E+01  3.97741199E-01
3.08462552E-02  9.22339172E+01  3.91251057E-01
3.12342584E-02  9.19903412E+01  3.88255388E-01
3.16222616E-02  9.10184860E+01  3.89476597E-01
3.20102648E-02  8.97378387E+01  3.90530676E-01
3.23982680E-02  8.86668854E+01  3.89451146E-01
3.27862712E-02  8.82921143E+01  3.89852852E-01
3.31742745E-02  8.69238281E+01  3.86248112E-01
3.35622777E-02  8.67774429E+01  3.86319578E-01
3.39502809E-02  8.55508804E+01  3.83186758E-01
3.43382841E-02  8.49521637E+01  3.81786913E-01
3.47262873E-02  8.48617554E+01  3.81095469E-01
3.51142905E-02  8.42648849E+01  3.79088759E-01
3.55022937E-02  8.37382889E+01  3.77197772E-01
3.58902969E-02  8.28384552E+01  3.74368578E-01
3.62783001E-02  8.20922241E+01  3.71930689E-01
3.66663033E-02  8.21826706E+01  3.71661395E-01
3.70543066E-02  8.11383514E+01  3.67783070E-01
3.74423098E-02  8.10590515E+01  3.67313057E-01
3.78303130E-02  8.03711166E+01  3.64366531E-01
3.82183162E-02  8.04211349E+01  3.63703191E-01
3.86063194E-02  8.01486053E+01  3.56606066E-01
3.89943226E-02  7.93871002E+01  3.47957015E-01
3.93823258E-02  7.92020798E+01  3.43222737E-01
3.97703290E-02  7.90984650E+01  3.39175850E-01
4.01583322E-02  7.87404709E+01  3.35062653E-01
4.05463354E-02  7.88123474E+01  3.32341135E-01
4.09343387E-02  7.80278778E+01  3.27717900E-01
4.13223419E-02  7.77796631E+01  3.25121075E-01
4.17103451E-02  7.75604858E+01  3.21856111E-01
4.20983483E-02  7.77877350E+01  3.20263445E-01
4.24863515E-02  7.73189087E+01  3.16949874E-01
4.28743547E-02  7.71759109E+01  3.14732432E-01
4.32623579E-02  7.66992950E+01  3.11543345E-01
4.36503611E-02  7.67397308E+01  3.10031414E-01
4.40383643E-02  7.66006470E+01  3.08050632E-01
4.44263675E-02  7.57602768E+01  3.04114431E-01
4.48143708E-02  7.57877579E+01  3.03056657E-01
4.52023740E-02  7.64130173E+01  3.04717660E-01
4.55903772E-02  7.59571838E+01  3.04196954E-01
4.59783804E-02  7.57344360E+01  3.04128319E-01
4.63663836E-02  7.59112396E+01  3.04265499E-01
4.67543868E-02  7.59408188E+01  3.04498732E-01
4.71423900E-02  7.55336304E+01  3.03344369E-01
4.75303932E-02  7.49736023E+01  3.01703215E-01
4.79183964E-02  7.51694717E+01  3.01957697E-01
4.83063996E-02  7.53780060E+01  3.01875919E-01
4.86944029E-02  7.53304138E+01  3.01260501E-01
4.90824061E-02  7.53926086E+01  3.01253051E-01
4.94704093E-02  7.49935837E+01  3.00048679E-01
4.98584125E-02  7.47794952E+01  2.99315125E-01
5.02464157E-02  7.45967941E+01  2.98042268E-01
5.06344189E-02  7.48154984E+01  2.98141241E-01
5.10224221E-02  7.43247375E+01  2.95871884E-01
5.14104253E-02  7.44475784E+01  2.93408096E-01
5.17984285E-02  7.38725815E+01  2.88287997E-01
5.21864318E-02  7.44902725E+01  2.86846399E-01
5.25744350E-02  7.43955460E+01  2.84550369E-01
5.29624382E-02  7.35350952E+01  2.80540198E-01
5.33504414E-02  7.31728821E+01  2.78016597E-01
5.37384446E-02  7.28233032E+01  2.75394768E-01
5.41264478E-02  7.30195923E+01  2.74332434E-01
5.45144510E-02  7.28687744E+01  2.72353321E-01
5.49024542E-02  7.32929916E+01  2.71706432E-01
5.52904574E-02  7.27304916E+01  2.68940270E-01
5.56784606E-02  7.25916138E+01  2.67410219E-01
5.60664639E-02  7.27746201E+01  2.66421020E-01
5.64544671E-02  7.23383026E+01  2.63979763E-01
5.68424703E-02  7.22821503E+01  2.62651652E-01
5.72304735E-02  7.20429001E+01  2.61103779E-01
5.76184767E-02  7.17228699E+01  2.59308547E-01
5.80064799E-02  7.19256821E+01  2.58495271E-01
5.83944831E-02  7.21595459E+01  2.57552743E-01
5.87824863E-02  7.24807281E+01  2.57197738E-01
5.91704895E-02  7.17276154E+01  2.54510760E-01
5.95584927E-02  7.16813889E+01  2.53313601E-01
5.99464960E-02  7.22174301E+01  2.53432840E-01
6.03344992E-02  7.19523010E+01  2.51874626E-01
6.07225024E-02  7.13900223E+01  2.49515221E-01
6.11105056E-02  7.14885559E+01  2.48964861E-01
6.14985088E-02  7.12913361E+01  2.47556403E-01
6.18865120E-02  7.14269791E+01  2.46973068E-01
6.22745152E-02  7.13846664E+01  2.45757207E-01
6.26625184E-02  7.15930328E+01  2.45296583E-01
6.30505216E-02  7.13236008E+01  2.43820667E-01
6.34385248E-02  7.13573074E+01  2.43003890E-01
6.38265281E-02  7.12349396E+01  2.41817176E-01
6.42145313E-02  7.15523911E+01  2.41567388E-01
6.46025345E-02  7.12583313E+01  2.40078866E-01
